日期,星期,月份,是否周末,三态标签
2025-09-16,星期二,9,0,正常
2025-09-17,星期三,9,0,正常
2025-09-18,星期四,9,0,正常
2025-09-19,星期五,9,0,正常
2025-09-20,星期六,9,1,正常
2025-09-21,星期日,9,1,正常
2025-09-22,星期一,9,0,正常
2025-09-23,星期二,9,0,正常
2025-09-24,星期三,9,0,正常
2025-09-25,星期四,9,0,正常
2025-09-26,星期五,9,0,正常
2025-09-27,星期六,9,1,正常
2025-09-28,星期日,9,1,补班
2025-09-29,星期一,9,0,正常
2025-09-30,星期二,9,0,正常
2025-10-01,星期三,10,0,放假
2025-10-02,星期四,10,0,放假
2025-10-03,星期五,10,0,放假
2025-10-04,星期六,10,1,放假
2025-10-05,星期日,10,1,放假
2025-10-06,星期一,10,0,放假
2025-10-07,星期二,10,0,放假
2025-10-08,星期三,10,0,放假
2025-10-09,星期四,10,0,正常
2025-10-10,星期五,10,0,正常
2025-10-11,星期六,10,1,补班
2025-10-12,星期日,10,1,正常
2025-10-13,星期一,10,0,正常
2025-10-14,星期二,10,0,正常
2025-10-15,星期三,10,0,正常
2025-10-16,星期四,10,0,正常
2025-10-17,星期五,10,0,正常
2025-10-18,星期六,10,1,正常
2025-10-19,星期日,10,1,正常
2025-10-20,星期一,10,0,正常
2025-10-21,星期二,10,0,正常
2025-10-22,星期三,10,0,正常
2025-10-23,星期四,10,0,正常
2025-10-24,星期五,10,0,正常
2025-10-25,星期六,10,1,正常
2025-10-26,星期日,10,1,正常
2025-10-27,星期一,10,0,正常
2025-10-28,星期二,10,0,正常
2025-10-29,星期三,10,0,正常
2025-10-30,星期四,10,0,正常
2025-10-31,星期五,10,0,正常
2025-11-01,星期六,11,1,正常
2025-11-02,星期日,11,1,正常
2025-11-03,星期一,11,0,正常
2025-11-04,星期二,11,0,正常
2025-11-05,星期三,11,0,正常
2025-11-06,星期四,11,0,正常
2025-11-07,星期五,11,0,正常
2025-11-08,星期六,11,1,正常
2025-11-09,星期日,11,1,正常
2025-11-10,星期一,11,0,正常
2025-11-11,星期二,11,0,正常
2025-11-12,星期三,11,0,正常
2025-11-13,星期四,11,0,正常
2025-11-14,星期五,11,0,正常
2025-11-15,星期六,11,1,正常
2025-11-16,星期日,11,1,正常
2025-11-17,星期一,11,0,正常
2025-11-18,星期二,11,0,正常
2025-11-19,星期三,11,0,正常
2025-11-20,星期四,11,0,正常
2025-11-21,星期五,11,0,正常
2025-11-22,星期六,11,1,正常
2025-11-23,星期日,11,1,正常
2025-11-24,星期一,11,0,正常
2025-11-25,星期二,11,0,正常
2025-11-26,星期三,11,0,正常
2025-11-27,星期四,11,0,正常
2025-11-28,星期五,11,0,正常
2025-11-29,星期六,11,1,正常
2025-11-30,星期日,11,1,正常
2025-12-01,星期一,12,0,正常
2025-12-02,星期二,12,0,正常
2025-12-03,星期三,12,0,正常
2025-12-04,星期四,12,0,正常
2025-12-05,星期五,12,0,正常
2025-12-06,星期六,12,1,正常
2025-12-07,星期日,12,1,正常
2025-12-08,星期一,12,0,正常
2025-12-09,星期二,12,0,正常
2025-12-10,星期三,12,0,正常
2025-12-11,星期四,12,0,正常
2025-12-12,星期五,12,0,正常
2025-12-13,星期六,12,1,正常
2025-12-14,星期日,12,1,正常
2025-12-15,星期一,12,0,正常
2025-12-16,星期二,12,0,正常
2025-12-17,星期三,12,0,正常
2025-12-18,星期四,12,0,正常
2025-12-19,星期五,12,0,正常
2025-12-20,星期六,12,1,正常
2025-12-21,星期日,12,1,正常
2025-12-22,星期一,12,0,正常
2025-12-23,星期二,12,0,正常
2025-12-24,星期三,12,0,正常
2025-12-25,星期四,12,0,正常
2025-12-26,星期五,12,0,正常
2025-12-27,星期六,12,1,正常
2025-12-28,星期日,12,1,正常
2025-12-29,星期一,12,0,正常
2025-12-30,星期二,12,0,正常
2025-12-31,星期三,12,0,正常
