日期,方案ID,推广单元ID,cpc_cal,ctr_cal,pos_hat,Bjt_hist
2026-09-11,495403620,9628223555,0.7623578267429365,0.012972136838845015,3.723398247258353,51.62
2026-09-12,495403620,9628223555,0.7563386851275226,0.014986877273160308,3.7243686732041312,64.9
2026-09-13,495403620,9628223555,0.76474722353045,0.012103485959375876,3.777062342805444,58.52
2026-09-14,495403620,9628223555,0.7571185727780493,0.012665668349043738,3.7764386958641,53.3
2026-09-15,495403620,9628223555,0.7240426406745638,0.01053421365563089,3.72778153178567,14.67
2026-09-16,495403620,9628223555,0.7409627911176737,0.009393577058449423,3.713192215247193,6.92
2026-09-17,495403620,9628223555,0.7879750867771886,0.010206020833461154,3.704449957369274,8.6
2026-09-11,495817671,9630806627,0.8091544992400235,0.013273561294413856,3.687643048538889,41.9
2026-09-12,495817671,9630806627,0.8103768592074143,0.013941681691228513,3.688613474484667,44.93
2026-09-13,495817671,9630806627,0.7966298407084687,0.010620463912464153,3.74130714408598,32.75
2026-09-14,495817671,9630806627,0.7969176327621033,0.011045589049340426,3.740683497144636,34.42
2026-09-15,495817671,9630806627,0.8453214274339796,0.012001645049731148,3.6920263330662055,17.37
2026-09-16,495817671,9630806627,0.7496825477713356,0.010872061372080284,3.677437016527729,9.42
2026-09-17,495817671,9630806627,0.639374342460554,0.010642603176223796,3.66869475864981,6.01
2026-09-11,500635396,9657930100,2.587658541261079,0.03543351008361094,3.1054659692133924,4794.35
2026-09-12,500635396,9657930100,2.565073341148569,0.03584808380406581,3.1064363951591702,4587.95
2026-09-13,500635396,9657930100,2.567029578580435,0.032777027007345715,3.159130064760483,4439.45
2026-09-14,500635396,9657930100,2.617700513819438,0.03437292719270101,3.1585064178191398,4441.75
2026-09-15,500635396,9657930100,1.8601895944819058,0.029019131777287568,3.109849253740709,304.31
2026-09-16,500635396,9657930100,1.7576292205563333,0.02890098961510046,3.095259937202232,241.64
2026-09-17,500635396,9657930100,1.7409396490724145,0.028475318357987202,3.086517679324313,238.85
2026-09-11,500635396,9773660250,1.3376603837255756,0.01750201103844655,3.60649989351631,0.0
2026-09-12,500635396,9773660250,1.3251614190873526,0.0183688043607422,3.607470319462088,0.0
2026-09-13,500635396,9773660250,1.2917301047335543,0.01498899473822775,3.660163989063401,0.0
2026-09-14,500635396,9773660250,1.2931134842386889,0.01348237907465335,3.659540342122057,0.0
2026-09-15,500635396,9773660250,1.3310147243862591,0.0164910780250527,3.610883178043627,0.0
